"","numero_episodio","Titulo","Tipo","rate","votes","Saga","Lancamento"
"56",56,"Squirming","Mixed Canon/Filler",7.6,345,"s3 Twelve Guardian Ninja",2008
"57",57,"Robbed of Sleep","Filler",6.9,268,"s3 Twelve Guardian Ninja",2008
"58",58,"Loneliness","Filler",6.6,266,"s3 Twelve Guardian Ninja",2008
"59",59,"A New Enemy","Filler",6.5,261,"s3 Twelve Guardian Ninja",2008
"60",60,"Impermanence","Filler",6.7,256,"s3 Twelve Guardian Ninja",2008
"61",61,"Contact","Filler",6.7,259,"s3 Twelve Guardian Ninja",2008
"62",62,"Teammate","Filler",6.5,256,"s3 Twelve Guardian Ninja",2008
"63",63,"The Two Kings","Filler",6.6,253,"s3 Twelve Guardian Ninja",2008
"64",64,"The Jet-Black Signal Fire","Filler",6.6,250,"s3 Twelve Guardian Ninja",2008
"65",65,"Lockdown of Darkness","Filler",6.9,249,"s3 Twelve Guardian Ninja",2008
"66",66,"Revived Souls","Filler",6.7,250,"s3 Twelve Guardian Ninja",2008
"67",67,"Everyone's Struggle to the Death","Filler",6.8,247,"s3 Twelve Guardian Ninja",2008
"68",68,"Moment of Awakening","Filler",6.7,247,"s3 Twelve Guardian Ninja",2008
"69",69,"Despair","Filler",6.6,251,"s3 Twelve Guardian Ninja",2008
"70",70,"Resonance","Filler",6.6,253,"s3 Twelve Guardian Ninja",2008
"71",71,"My Friend","Filler",6.6,265,"s3 Twelve Guardian Ninja",2008
"72",72,"The Quietly Approaching Threat","Manga Canon",7.3,335,"s4 Immortal Devastators",2008
"73",73,"Akatsuki's Invasion","Manga Canon",7.7,360,"s4 Immortal Devastators",2008
"74",74,"Under the Starry Sky","Manga Canon",7.5,340,"s4 Immortal Devastators",2008
"75",75,"The Old Monk's Prayer","Manga Canon",7.4,334,"s4 Immortal Devastators",2008
"76",76,"The Next Step","Manga Canon",7.7,348,"s4 Immortal Devastators",2008
"77",77,"Climbing Silver","Manga Canon",8.3,382,"s4 Immortal Devastators",2008
"78",78,"The Judgment","Manga Canon",8.6,472,"s4 Immortal Devastators",2008
"79",79,"Unfulfilled Scream","Manga Canon",8.6,452,"s4 Immortal Devastators",2008
"80",80,"Last Words","Manga Canon",8.8,619,"s4 Immortal Devastators",2008
"81",81,"Sad News","Manga Canon",8.1,372,"s4 Immortal Devastators",2008
"82",82,"Team Ten","Manga Canon",8.6,537,"s4 Immortal Devastators",2008
"83",83,"Target: Locked On","Manga Canon",8.3,377,"s4 Immortal Devastators",2008
"84",84,"Kakuzu's Abilities","Manga Canon",8.6,416,"s4 Immortal Devastators",2008
"85",85,"Terrifying Secret","Manga Canon",8.6,505,"s4 Immortal Devastators",2008
"86",86,"Shikamaru's Genius","Manga Canon",8.8,574,"s4 Immortal Devastators",2008
"87",87,"When You Curse Someone, You Dig Your Own Grave","Manga Canon",9,699,"s4 Immortal Devastators",2008
"88",88,"Wind Style: Rasen Shuriken!","Manga Canon",8.8,602,"s4 Immortal Devastators",2008
"89",89,"The Price of Power","Mixed Canon/Filler",7.7,344,"s5 The Three-Tailed Demon Turtle",2008
"90",90,"A Shinobi's Determination","Mixed Canon/Filler",6.9,286,"s5 The Three-Tailed Demon Turtle",2008
"91",91,"Orochimaru's Hideout Discovered","Filler",7,259,"s5 The Three-Tailed Demon Turtle",2009
"92",92,"Encounter","Filler",6.7,255,"s5 The Three-Tailed Demon Turtle",2009
"93",93,"Connecting Hearts","Filler",6.5,252,"s5 The Three-Tailed Demon Turtle",2009
"94",94,"A Night of Rain","Filler",6.4,244,"s5 The Three-Tailed Demon Turtle",2009
"95",95,"The Two Charms","Filler",6.4,246,"s5 The Three-Tailed Demon Turtle",2009
"96",96,"The Unseeing Enemy","Filler",6.6,238,"s5 The Three-Tailed Demon Turtle",2009
"97",97,"The Labyrinth of Distorted Reflection","Filler",6.8,239,"s5 The Three-Tailed Demon Turtle",2009
"98",98,"The Target Appears","Filler",6.8,238,"s5 The Three-Tailed Demon Turtle",2009
"99",99,"The Rampaging Tailed Beast","Filler",6.8,243,"s5 The Three-Tailed Demon Turtle",2009
"100",100,"Inside the Mist","Filler",6.5,240,"s5 The Three-Tailed Demon Turtle",2009
"101",101,"Everyone's Feelings","Filler",6.4,238,"s5 The Three-Tailed Demon Turtle",2009
"102",102,"Regroup!","Filler",6.4,239,"s5 The Three-Tailed Demon Turtle",2009
"103",103,"The Four-Corner Sealing Barrier","Filler",6.7,239,"s5 The Three-Tailed Demon Turtle",2009
"104",104,"Breaking the Crystal Style","Filler",6.8,236,"s5 The Three-Tailed Demon Turtle",2009
"105",105,"The Battle Over the Barrier","Filler",6.4,240,"s5 The Three-Tailed Demon Turtle",2009
"106",106,"Red Camellia","Filler",6.6,238,"s5 The Three-Tailed Demon Turtle",2009
